tf,HR,pvalue,coef,n
HOXB9,1.2518327100967623,0.0001889270632010837,0.22460864561663232,7397
IRF2BPL,1.6121589186648935,0.00020385795117331697,0.4775742240049871,7397
RFX1,0.8308378420160496,0.0002485199561048154,-0.18532063912962024,7397
NEUROD2,1.501076163397475,0.00025037771695814127,0.40618229313447446,7397
SOX9,0.8193800951728536,0.0002666258455208508,-0.19920720611846796,7397
ZNF300,1.2153523009217435,0.00027055547867793563,0.19503399436872282,7397
HOXA7,0.7947180440020677,0.0002800261009109236,-0.2297678888677356,7397
IKZF4,0.7063059486259587,0.0002925893891340871,-0.3477067803657759,7397
NFE2L2,1.1661311260379978,0.00034938006604837385,0.15369153961394721,7397
POU2F3,1.2051583287977294,0.000353453680926744,0.18661095150442522,7397
